Supplemental Table 1: Secreted Proteins Across Multi-Omics Analyses				
Gene	Correlation with CD8 T cell signature	Down in multiple tumor types	High expression in Fibroblast	Up in ICB responders
ROBO1	No	No	Yes	No
TPST1	No	No	Yes	No
HTRA3	No	No	Yes	No
INSR	No	No	Yes	No
SPSB1	No	No	Yes	No
LRRC15	No	No	Yes	No
PDE3A	No	No	Yes	No
EFEMP2	No	No	Yes	Yes
BNC2	No	No	Yes	No
SLC19A1	No	No	Yes	No
C1QTNF1	No	No	Yes	Yes
MSRB3	No	No	Yes	No
ZHX3	No	No	Yes	No
CD248	No	No	Yes	No
RNF152	No	No	Yes	No
MYO1D	No	No	Yes	No
GPR4	No	No	Yes	No
FAM20C	No	No	Yes	Yes
APOLD1	No	No	Yes	No
